simulation,resource_state,gamma_label,gamma,rho,h,p_future,net_mrg
optimal_curiosity_curve,enriched,medium,0.45,1.0,11.0,0.21764705882352942,-0.003056242596066366
optimal_curiosity_curve,enriched,medium,0.45,1.0,12.0,0.2326923076923077,-0.003277061860912962
optimal_curiosity_curve,enriched,medium,0.45,1.0,13.0,0.24716981132075472,-0.003429679140812638
optimal_curiosity_curve,enriched,medium,0.45,1.0,14.0,0.2611111111111111,-0.003534234188699103
optimal_curiosity_curve,enriched,medium,0.45,1.0,15.0,0.27454545454545454,-0.0036053431450313446
optimal_curiosity_curve,enriched,high,0.9,0.0,0.0,0.05,0.04360000000000001
optimal_curiosity_curve,enriched,high,0.9,0.0,1.0,0.05,0.016895634688326965
optimal_curiosity_curve,enriched,high,0.9,0.0,2.0,0.05,0.006038449969971394
optimal_curiosity_curve,enriched,high,0.9,0.0,3.0,0.05,0.0016242480732887395
optimal_curiosity_curve,enriched,high,0.9,0.0,4.0,0.05,-0.0001704324898718346
optimal_curiosity_curve,enriched,high,0.9,0.0,5.0,0.05,-0.0009000951557790962
optimal_curiosity_curve,enriched,high,0.9,0.0,6.0,0.05,-0.00119675385758243
optimal_curiosity_curve,enriched,high,0.9,0.0,7.0,0.05,-0.0013173662850336993
optimal_curiosity_curve,enriched,high,0.9,0.0,8.0,0.05,-0.0013664036386230494
optimal_curiosity_curve,enriched,high,0.9,0.0,9.0,0.05,-0.001386340738786451
optimal_curiosity_curve,enriched,high,0.9,0.0,10.0,0.05,-0.0013944465588160994
optimal_curiosity_curve,enriched,high,0.9,0.0,11.0,0.05,-0.001397742139307472
optimal_curiosity_curve,enriched,high,0.9,0.0,12.0,0.05,-0.0013990820223464973
optimal_curiosity_curve,enriched,high,0.9,0.0,13.0,0.05,-0.001399626778137766
optimal_curiosity_curve,enriched,high,0.9,0.0,14.0,0.05,-0.0013998482593144638
optimal_curiosity_curve,enriched,high,0.9,0.0,15.0,0.05,-0.0013999383068411127
optimal_curiosity_curve,enriched,high,0.9,0.25,0.0,0.038125000000000006,0.03291250000000001
optimal_curiosity_curve,enriched,high,0.9,0.25,1.0,0.044207317073170736,0.014776018474435425
optimal_curiosity_curve,enriched,high,0.9,0.25,2.0,0.05,0.006038449969971394
optimal_curiosity_curve,enriched,high,0.9,0.25,3.0,0.055523255813953495,0.0019583219883613327
optimal_curiosity_curve,enriched,high,0.9,0.25,4.0,0.06079545454545455,9.504231345129188e-05
optimal_curiosity_curve,enriched,high,0.9,0.25,5.0,0.06583333333333334,-0.0007417919551091433
optimal_curiosity_curve,enriched,high,0.9,0.25,6.0,0.07065217391304349,-0.0011128043639751727
optimal_curiosity_curve,enriched,high,0.9,0.25,7.0,0.07526595744680852,-0.001275609886513494
optimal_curiosity_curve,enriched,high,0.9,0.25,8.0,0.0796875,-0.001346455799055485
optimal_curiosity_curve,enriched,high,0.9,0.25,9.0,0.08392857142857144,-0.0013770719543915427
optimal_curiosity_curve,enriched,high,0.9,0.25,10.0,0.088,-0.0013902259435163349
optimal_curiosity_curve,enriched,high,0.9,0.25,11.0,0.09191176470588236,-0.0013958495207857943
optimal_curiosity_curve,enriched,high,0.9,0.25,12.0,0.09567307692307693,-0.0013982434850668554
optimal_curiosity_curve,enriched,high,0.9,0.25,13.0,0.09929245283018868,-0.0013992588377169785
optimal_curiosity_curve,enriched,high,0.9,0.25,14.0,0.10277777777777779,-0.0013996880885908422
optimal_curiosity_curve,enriched,high,0.9,0.25,15.0,0.10613636363636364,-0.0013998690422490892
optimal_curiosity_curve,enriched,high,0.9,0.5,0.0,0.026250000000000002,0.022225000000000005
optimal_curiosity_curve,enriched,high,0.9,0.5,1.0,0.03841463414634146,0.012656402260543886
optimal_curiosity_curve,enriched,high,0.9,0.5,2.0,0.05,0.006038449969971394
optimal_curiosity_curve,enriched,high,0.9,0.5,3.0,0.061046511627906974,0.0022923959034339258
optimal_curiosity_curve,enriched,high,0.9,0.5,4.0,0.0715909090909091,0.00036051711677441835
optimal_curiosity_curve,enriched,high,0.9,0.5,5.0,0.08166666666666667,-0.0005834887544391905
optimal_curiosity_curve,enriched,high,0.9,0.5,6.0,0.09130434782608696,-0.0010288548703679158
optimal_curiosity_curve,enriched,high,0.9,0.5,7.0,0.10053191489361701,-0.0012338534879932888
optimal_curiosity_curve,enriched,high,0.9,0.5,8.0,0.109375,-0.0013265079594879205
optimal_curiosity_curve,enriched,high,0.9,0.5,9.0,0.11785714285714285,-0.0013678031699966345
optimal_curiosity_curve,enriched,high,0.9,0.5,10.0,0.126,-0.0013860053282165705
optimal_curiosity_curve,enriched,high,0.9,0.5,11.0,0.1338235294117647,-0.0013939569022641165
optimal_curiosity_curve,enriched,high,0.9,0.5,12.0,0.14134615384615384,-0.0013974049477872134
