k,budget_level,cost_profile,algorithm,arm_regime,n_sims,ecological_richness_mean,ecological_richness_sd,feasible_richness_mean,feasible_richness_sd,experienced_richness_mean,experienced_richness_sd,unexplored_options_mean,unexplored_options_sd,unaffordable_options_mean,unaffordable_options_sd,conversion_feasible_ecological_mean,conversion_feasible_ecological_sd,conversion_experienced_feasible_mean,conversion_experienced_feasible_sd,conversion_experienced_ecological_mean,conversion_experienced_ecological_sd,choice_entropy_mean,choice_entropy_sd,entropy_over_feasible_max_mean,entropy_over_feasible_max_sd,entropy_over_ecological_max_mean,entropy_over_ecological_max_sd,explore_prop_mean,explore_prop_sd,switching_rate_mean,switching_rate_sd,top_arm_concentration_mean,top_arm_concentration_sd,avg_reward_mean,avg_reward_sd,avg_feasible_time_cost_mean,avg_feasible_time_cost_sd,avg_feasible_money_cost_mean,avg_feasible_money_cost_sd,early_discovery_rate_mean,early_discovery_rate_sd,middle_discovery_rate_mean,middle_discovery_rate_sd,late_discovery_rate_mean,late_discovery_rate_sd,novelty_decay_mean,novelty_decay_sd
100,tight,low,egreedy_0.1,fixed,30,100.0,0.0,69.1,5.957348403442592,22.166666666666668,4.313415764281894,77.83333333333333,4.313415764281894,30.9,5.957348403442592,0.6910000000000001,0.059573484034425916,0.32324557675631627,0.06890624568888792,0.22166666666666668,0.043134157642818936,0.6705552246009997,0.13956535466082007,0.15849599048409152,0.03287114172581189,0.1456092169278049,0.03030623169703222,0.11083333333333334,0.021567078821409468,0.2020100502512563,0.04242983901026187,0.8918333333333334,0.023326784795356815,0.8996666666666667,0.015326085243430211,0.17551046398964243,0.00847002501005337,0.17527768996466395,0.009500809345609948,0.128,0.0530659966456864,0.098,0.043924177093411024,0.11,0.03296462750686964,0.018000000000000002,0.06310837239754062
100,tight,low,egreedy_0.1,flowing,30,100.0,0.0,71.36666666666666,4.39305006674052,21.4,3.9715656022950614,78.6,3.9715656022950614,28.633333333333333,4.39305006674052,0.7136666666666667,0.0439305006674052,0.30070968832170275,0.05686851424289162,0.214,0.039715656022950616,0.6445852325077385,0.11817440833537875,0.15109571099469712,0.02753610881673024,0.1399699047972177,0.025661246721118313,0.107,0.019857828011475308,0.19212730318257956,0.03659918585751716,0.8961666666666667,0.01904745535643951,0.9016666666666667,0.017669811040931443,0.17463199255022305,0.008664039742616474,0.1746826729262904,0.011297704906922057,0.13133333333333333,0.04153178167246006,0.09666666666666666,0.03797660098300297,0.09666666666666666,0.03797660098300297,0.034666666666666665,0.05886330681238431
100,tight,low,egreedy_0.5,fixed,30,100.0,0.0,69.16666666666667,4.575903068126432,69.16666666666667,4.575903068126432,30.833333333333332,4.575903068126432,30.833333333333332,4.575903068126432,0.6916666666666667,0.045759030681264315,1.0,0.0,0.6916666666666667,0.045759030681264315,2.1074193133074073,0.12794277298841025,0.4973922176978706,0.023190658374276373,0.4576202894128736,0.027782420154133496,0.3458333333333333,0.022879515340632157,0.5123953098827471,0.037525798321246494,0.6523333333333333,0.022536390325180504,0.8978333333333334,0.017733364661626477,0.17473225748908566,0.010902069141299566,0.17426923796422575,0.011828714175218736,0.5146666666666667,0.091204288398201,0.48533333333333334,0.06731682966060981,0.014666666666666668,0.0416119640915393,0.5,0.11159450404627162
100,tight,low,egreedy_0.5,flowing,30,100.0,0.0,69.73333333333333,3.863792034891227,69.73333333333333,3.863792034891227,30.266666666666666,3.863792034891227,30.266666666666666,3.863792034891227,0.6973333333333334,0.03863792034891226,1.0,0.0,0.6973333333333334,0.03863792034891226,2.1104208296842173,0.11915080233365925,0.49710432557622714,0.021948680471680356,0.458272060412769,0.025873267983926657,0.3486666666666667,0.01931896017445613,0.5192629815745393,0.03774609400309051,0.6526666666666667,0.022050447211388317,0.9048333333333334,0.016557140118054488,0.17311392103315856,0.00916721465995391,0.17471743183724467,0.012343798625552207,0.49533333333333335,0.0646391694116054,0.482,0.05068859174738763,0.020666666666666667,0.05403291178120568,0.4746666666666667,0.08293504821378127
100,tight,low,thompson,fixed,30,100.0,0.0,68.9,4.307744963048146,55.8,3.618471132029843,44.2,3.618471132029843,31.1,4.307744963048146,0.6890000000000001,0.04307744963048145,0.8111324375331495,0.04670652390917186,0.558,0.03618471132029842,3.740466117404707,0.08582835131675218,0.8841669331072625,0.017839140135869635,0.8122318972674725,0.018637389683859584,0.279,0.01809235566014921,0.9701842546063651,0.011231527379725433,0.07066666666666667,0.015584892970081279,0.8938333333333334,0.01846994555728006,0.17573819049789852,0.008280376162062902,0.17511120413262798,0.010068911749726276,0.6106666666666667,0.053099487337973005,0.20466666666666666,0.048630123266231694,0.08466666666666667,0.038534256044315804,0.526,0.07083313725463057
100,tight,low,thompson,flowing,30,100.0,0.0,68.16666666666667,2.8761471141480617,49.36666666666667,3.9537605165490515,50.63333333333333,3.9537605165490515,31.833333333333332,2.8761471141480617,0.6816666666666666,0.028761471141480595,0.7243285720291476,0.050366784871646766,0.4936666666666667,0.03953760516549052,3.4825354068944825,0.1248168036252749,0.8250108583696482,0.02752052886305815,0.7562229551234847,0.027103624531629348,0.24683333333333335,0.01976880258274526,0.9222780569514238,0.02294501685248612,0.1125,0.03084234102658227,0.9016666666666667,0.026499475885802395,0.17371405488505218,0.0115863800104388,0.173734009038757,0.011268393092706452,0.31333333333333335,0.06352602266438184,0.268,0.0567097875150313,0.152,0.04888080741286229,0.16133333333333333,0.09032287762367971
100,tight,low,ucb,fixed,30,100.0,0.0,70.6,4.029888335921977,70.6,4.029888335921977,29.4,4.029888335921977,29.4,4.029888335921977,0.706,0.04029888335921976,1.0,0.0,0.706,0.04029888335921976,4.244944842072495,0.05378373596815133,0.9975639309898567,0.0011671289491265492,0.9217780604478776,0.011678989873554792,0.353,0.02014944167960988,1.0,0.0,0.016,0.0020000000000000005,0.9011666666666667,0.021628813087073373,0.17126160528013684,0.009692347021244758,0.17270101033438526,0.008959878263433635,1.0,0.0,0.002,0.007916228058025278,0.0,0.0,1.0,0.0
100,tight,low,ucb,flowing,30,100.0,0.0,68.16666666666667,4.851689281980956,68.16666666666667,4.851689281980956,31.833333333333332,4.851689281980956,31.833333333333332,4.851689281980956,0.6816666666666666,0.04851689281980956,1.0,0.0,0.6816666666666666,0.04851689281980956,4.211891275432426,0.06896189969274005,0.9982349197613027,0.0013130701133626853,0.9146005696483759,0.014974886249061282,0.3408333333333333,0.02425844640990478,0.9820770519262981,0.01892204291855488,0.016833333333333332,0.002409472049133494,0.8968333333333334,0.018640606809388553,0.16988432932143718,0.00993250075122686,0.16997206154056838,0.011723202021278715,0.6093333333333334,0.10902395251605136,0.462,0.10799382698407657,0.0006666666666666666,0.003590109871423003,0.6086666666666667,0.10889546465405353
25,generous,high,egreedy_0.1,fixed,30,25.0,0.0,22.6,1.1430952132988164,20.633333333333333,2.2432615144521653,4.366666666666666,2.2432615144521653,2.4,1.1430952132988164,0.904,0.04572380853195265,0.9149754376058724,0.10395126508776403,0.8253333333333334,0.0897304605780866,0.625096581684008,0.07754362573701906,0.20060432122983393,0.024810220971433993,0.19419717183703508,0.024090281811412886,0.10316666666666667,0.011216307572260826,0.18576214405360134,0.020779297869300953,0.8991666666666667,0.01335934961823451,0.8988333333333334,0.025517423241559672,0.46715886619050495,0.03600443459601693,0.46776897304723913,0.03854694413970064,0.14333333333333334,0.046785562825394,0.10533333333333333,0.03649048582241069,0.06333333333333334,0.0268741924943285,0.08,0.05513619500836089
25,generous,high,egreedy_0.1,flowing,30,25.0,0.0,23.066666666666666,1.6519348924485155,21.166666666666668,2.517715013437559,3.8333333333333335,2.517715013437559,1.9333333333333333,1.6519348924485155,0.9226666666666666,0.06607739569794062,0.9191344930177882,0.09868961462445199,0.8466666666666667,0.10070860053750236,0.6401514523463692,0.08713374360157934,0.20405516062319717,0.026616204013132,0.1988742303759359,0.02706961943931065,0.10583333333333333,0.012588575067187795,0.18911222780569514,0.024600315336342698,0.8966666666666667,0.015881505666095475,0.8981666666666667,0.024815429787846833,0.46997027833780564,0.036327575261383034,0.46773402570941885,0.034858551803421185,0.12266666666666667,0.04154783053568769,0.09933333333333333,0.04114473099789193,0.08266666666666667,0.03991101212558871,0.04,0.06733003292241385
25,generous,high,egreedy_0.5,fixed,30,25.0,0.0,22.5,1.5652475842498528,22.5,1.5652475842498528,2.5,1.5652475842498528,2.5,1.5652475842498528,0.9,0.06260990336999411,1.0,0.0,0.9,0.06260990336999411,0.6815025519416132,0.0485528852678179,0.2188507233828064,0.011607365641858762,0.21172067175642537,0.015083801895279988,0.1125,0.007826237921249264,0.16515912897822446,0.018835099225287234,0.8901666666666667,0.008314979788844289,0.8988333333333334,0.021628813087073366,0.47506385469749923,0.035913735202470994,0.4661163244482283,0.03439282597273164,0.43333333333333335,0.03944053188733077,0.0,0.0,0.0,0.0,0.43333333333333335,0.03944053188733077
25,generous,high,egreedy_0.5,flowing,30,25.0,0.0,22.733333333333334,1.1527744310527055,22.733333333333334,1.1527744310527055,2.2666666666666666,1.1527744310527055,2.2666666666666666,1.1527744310527055,0.9093333333333333,0.04611097724210822,1.0,0.0,0.9093333333333333,0.04611097724210822,0.6966083148069118,0.05102660813143702,0.2229879377704655,0.014497466426590798,0.216413540847117,0.01585230711207269,0.11366666666666667,0.0057638721552635275,0.19212730318257956,0.01471846247987516,0.887,0.010847426730181997,0.8996666666666667,0.018299969641747748,0.4731405602922496,0.03665838497028148,0.4702459031994954,0.035188218792275426,0.268,0.05479659356809205,0.098,0.05249761899362675,0.0,0.0,0.268,0.05479659356809205
25,generous,high,thompson,fixed,30,25.0,0.0,22.933333333333334,1.4360439485692011,22.433333333333334,1.4302291968616623,2.566666666666667,1.4302291968616623,2.066666666666667,1.4360439485692011,0.9173333333333333,0.05744175794276803,0.9786978480456742,0.031946258400377354,0.8973333333333333,0.05720916787446649,2.688315043220012,0.11928665451462424,0.8588706730711355,0.03716999519674382,0.835172025727363,0.03705848283833954,0.11216666666666666,0.007151145984308311,0.87571189279732,0.03315398329980035,0.18783333333333332,0.0522602993570539,0.8966666666666667,0.02487747754272707,0.46660165671171655,0.0316030367053879,0.4647417612095417,0.031030517892592827,0.342,0.03664241622309679,0.042666666666666665,0.029089898972361906,0.01,0.01341640786499874,0.332,0.04052982440952177
25,generous,high,thompson,flowing,30,25.0,0.0,22.633333333333333,1.3535960336164634,21.5,1.648231375343482,3.5,1.648231375343482,2.3666666666666667,1.3535960336164634,0.9053333333333333,0.054143841344658536,0.9501565970261623,0.04854186386847589,0.86,0.06592925501373928,2.632194867166801,0.1664983026451482,0.8442047520230476,0.04955434679423721,0.8177373127696154,0.0517256059891548,0.1075,0.00824115687671741,0.826465661641541,0.0490429835369796,0.20216666666666666,0.07526268811451144,0.8983333333333333,0.01858912465813158,0.4691131183620878,0.03853256266154382,0.4673820100535673,0.035836822348053354,0.19466666666666668,0.033439829877291875,0.10733333333333334,0.026574841903993,0.037333333333333336,0.025681813712344296,0.15733333333333333,0.04972814986392405
25,generous,high,ucb,fixed,30,25.0,0.0,22.766666666666666,1.2297244497131146,22.766666666666666,1.2297244497131146,2.2333333333333334,1.2297244497131146,2.2333333333333334,1.2297244497131146,0.9106666666666666,0.049188977988524576,1.0,0.0,0.9106666666666666,0.049188977988524576,3.113282008002632,0.055001271304594895,0.9966165021186827,0.0014867379973936728,0.9671954363539662,0.01708710565336795,0.11383333333333333,0.006148622248565572,0.9986599664991624,0.0028818510107345608,0.051500000000000004,0.0039051248379533264,0.9043333333333333,0.017782638224465526,0.45166979527256007,0.0431515332938815,0.4569073021984606,0.03689919476023122,0.4553333333333333,0.024594488994262288,0.0,0.0,0.0,0.0,0.4553333333333333,0.024594488994262288
25,generous,high,ucb,flowing,30,25.0,0.0,22.466666666666665,1.521694961401777,22.466666666666665,1.521694961401777,2.533333333333333,1.521694961401777,2.533333333333333,1.521694961401777,0.8986666666666666,0.06086779845607108,1.0,0.0,0.8986666666666666,0.06086779845607108,3.0985216075397504,0.06952389365041046,0.9963895070798152,0.001548978671216907,0.962609860126127,0.021598811955803605,0.11233333333333333,0.007608474807008885,0.8686767169179229,0.06455846952332814,0.05366666666666667,0.005763872155263527,0.8931666666666667,0.019978460623603853,0.4710402351597106,0.03911565460571274,0.4658850894072025,0.037522703175897294,0.2793333333333333,0.06956691423051302,0.09,0.060608030271023766,0.0,0.0,0.2793333333333333,0.06956691423051302
