condition,algorithm,arm_regime,k,round,n_sims,active_ecological_richness_mean,active_ecological_richness_sd,active_feasible_richness_mean,active_feasible_richness_sd,cumulative_unique_mean,cumulative_unique_sd,unique_share_mean,unique_share_sd,unique_over_active_mean,unique_over_active_sd,new_discovered_mean,new_discovered_sd,feasible_richness_mean,feasible_richness_sd,cumulative_unique_over_feasible_mean,cumulative_unique_over_feasible_sd
ecology_k_10,egreedy_0.1,fixed,10,19,100,10.0,0.0,9.99,0.099498743710662,3.01,1.337871443749361,0.301,0.1337871443749361,0.301,0.1337871443749361,0.09,0.2861817604250837,9.99,0.099498743710662,0.30133333333333334,0.13382575736132912
ecology_k_10,egreedy_0.1,fixed,10,20,100,10.0,0.0,9.99,0.099498743710662,3.12,1.3585286158193357,0.312,0.13585286158193355,0.312,0.13585286158193355,0.11,0.31288975694324034,9.99,0.099498743710662,0.31233333333333335,0.13586390249069102
ecology_k_10,egreedy_0.1,fixed,10,21,100,10.0,0.0,9.99,0.099498743710662,3.2,1.4,0.32,0.13999999999999999,0.32,0.13999999999999999,0.08,0.2712931993250107,9.99,0.099498743710662,0.32033333333333336,0.13999166641863603
ecology_k_10,egreedy_0.1,fixed,10,22,100,10.0,0.0,9.99,0.099498743710662,3.29,1.4511719401917886,0.329,0.14511719401917886,0.329,0.14511719401917886,0.09,0.2861817604250837,9.99,0.099498743710662,0.3293333333333333,0.14508847875233466
ecology_k_10,egreedy_0.1,fixed,10,23,100,10.0,0.0,9.99,0.099498743710662,3.43,1.394668419374297,0.343,0.1394668419374297,0.343,0.1394668419374297,0.14,0.34698703145794946,9.99,0.099498743710662,0.3433333333333333,0.13940349110884323
ecology_k_10,egreedy_0.1,fixed,10,24,100,10.0,0.0,9.99,0.099498743710662,3.49,1.4106381534610497,0.349,0.14106381534610496,0.349,0.14106381534610496,0.06,0.23748684174075835,9.99,0.099498743710662,0.34933333333333333,0.14098699703636974
ecology_k_10,egreedy_0.1,fixed,10,25,100,10.0,0.0,9.99,0.099498743710662,3.61,1.4345382532369082,0.361,0.14345382532369083,0.361,0.14345382532369083,0.12,0.32496153618543844,9.99,0.099498743710662,0.36133333333333334,0.1433503865824342
ecology_k_10,egreedy_0.1,fixed,10,26,100,10.0,0.0,9.99,0.099498743710662,3.72,1.5038616957685969,0.372,0.15038616957685969,0.372,0.15038616957685969,0.11,0.31288975694324034,9.99,0.099498743710662,0.37233333333333335,0.1502631025900903
ecology_k_10,egreedy_0.1,fixed,10,27,100,10.0,0.0,9.99,0.099498743710662,3.84,1.5278743403827424,0.384,0.15278743403827424,0.384,0.15278743403827424,0.12,0.32496153618543844,9.99,0.099498743710662,0.38433333333333336,0.1526400995806803
ecology_k_10,egreedy_0.1,fixed,10,28,100,10.0,0.0,9.99,0.099498743710662,3.92,1.4945233353815524,0.392,0.14945233353815524,0.392,0.14945233353815524,0.08,0.2712931993250107,9.99,0.099498743710662,0.39244444444444443,0.1495415215472501
